OBJECTID,Name,Class,State Abbreviation,State FIPS,Place FIPS,2020 Total Population,Population Class,People per square mile,Area in square miles,Capital,x,y
472,National City,city,CA,06,0650398,56173,7,7684.4,7.31,,-117.0929536,32.67075702
473,Newark,city,CA,06,0650916,47529,6,3409.5,13.94,,-122.031102,37.52039939
474,Newman,city,CA,06,0651140,12351,6,5995.6,2.06,,-121.020803,37.31559831
475,Newport Beach,city,CA,06,0651182,85239,7,3560.5,23.94,,-117.9171796,33.62346844
476,Nipomo,Census Designated Place,CA,06,0651476,18176,6,1205.3,15.08,,-120.4990122,35.032283
477,Norco,city,CA,06,0651560,26316,6,1869,14.08,,-117.5499684,33.92535103
478,North Auburn,Census Designated Place,CA,06,0651637,13452,6,1726.8,7.79,,-121.102928,38.93658276
479,North Fair Oaks,Census Designated Place,CA,06,0651840,14027,6,11689.2,1.2,,-122.2034402,37.47537039
480,North Highlands,Census Designated Place,CA,06,0651924,49327,6,5599,8.81,,-121.3659748,38.6970837
481,North Tustin,Census Designated Place,CA,06,0652379,25718,6,3908.5,6.58,,-117.796214,33.75414753
482,Norwalk,city,CA,06,0652526,102773,8,10551.6,9.74,,-118.0829093,33.90689009
483,Novato,city,CA,06,0652582,53225,7,1927.7,27.61,,-122.557454,38.09161702
484,Oakdale,city,CA,06,0652694,23181,6,3703,6.26,,-120.8480251,37.7619969
485,Oakland,city,CA,06,0653000,440646,9,7829.5,56.28,,-122.296043,37.81057809
486,Oakley,city,CA,06,0653070,43357,6,2699.7,16.06,,-121.6948932,37.99280407
487,Oak Park,Census Designated Place,CA,06,0653116,13898,6,2627.2,5.29,,-118.7669223,34.18496699
488,Oceanside,city,CA,06,0653322,174068,8,4138.6,42.06,,-117.35678,33.20405814
489,Oildale,Census Designated Place,CA,06,0653448,36135,6,4568.3,7.91,,-119.0278976,35.42493646
490,Olivehurst,Census Designated Place,CA,06,0653714,16595,6,1973.2,8.41,,-121.5549331,39.08167454
491,Ontario,city,CA,06,0653896,175265,8,3505.3,50,,-117.6449617,34.06569793
492,Orange,city,CA,06,0653980,139911,8,5418.7,25.82,,-117.860993,33.80499982
493,Orangevale,Census Designated Place,CA,06,0654092,35569,6,3066.3,11.6,,-121.2207999,38.68801956
494,Orcutt,Census Designated Place,CA,06,0654120,32034,6,2960.6,10.82,,-120.4268322,34.86676592
495,Orinda,city,CA,06,0654232,19514,6,1516.2,12.87,,-122.1790738,37.88079593
496,Oroville,city,CA,06,0654386,20042,6,1447.1,13.85,,-121.5645622,39.50011708
497,Oxnard,city,CA,06,0654652,202063,8,7559.4,26.73,,-119.1752592,34.19587017
498,Pacifica,city,CA,06,0654806,38640,6,3069.1,12.59,,-122.4780159,37.6111322
499,Pacific Grove,city,CA,06,0654848,15090,6,5239.6,2.88,,-121.9258688,36.61906731
500,Palmdale,city,CA,06,0655156,169450,8,1593.9,106.31,,-118.1104253,34.57356013
501,Palm Desert,city,CA,06,0655184,51163,7,1893.5,27.02,,-116.3637465,33.75171187
502,Palm Springs,city,CA,06,0655254,44575,6,470.7,94.69,,-116.513629,33.82202499
503,Palo Alto,city,CA,06,0655282,68572,7,2834.7,24.19,,-122.156712,37.44567831
504,Palos Verdes Estates,city,CA,06,0655380,13347,6,2792.3,4.78,,-118.3973409,33.78717847
505,Paradise,town,CA,06,0655520,4764,5,259.9,18.33,,-121.6063228,39.7558111
506,Paramount,city,CA,06,0655618,53733,7,11101.9,4.84,,-118.1651309,33.89760795
507,Parkway,Census Designated Place,CA,06,0655800,15962,6,6623.2,2.41,,-121.4518332,38.49939236
508,Parlier,city,CA,06,0655856,14576,6,6048.1,2.41,,-119.5418199,36.60914442
509,Pasadena,city,CA,06,0656000,138699,8,6004.3,23.1,,-118.1389129,34.159755
510,Patterson,city,CA,06,0656112,23781,6,3021.7,7.87,,-121.1469245,37.46763456
511,Perris,city,CA,06,0656700,78700,7,2487.4,31.64,,-117.2232985,33.78971467
512,Petaluma,city,CA,06,0656784,59776,7,4116.8,14.52,,-122.6267538,38.24232499
513,Phelan,Census Designated Place,CA,06,0656826,13859,6,230.6,60.09,,-117.5667204,34.43363583
514,Pico Rivera,city,CA,06,0656924,62088,7,6976.2,8.9,,-118.0887338,33.99018573
515,Piedmont,city,CA,06,0656938,11270,6,6629.4,1.7,,-122.2300242,37.82253645
516,Pinole,city,CA,06,0657288,19022,6,3722.5,5.11,,-122.2830278,37.99288923
517,Pittsburg,city,CA,06,0657456,76416,7,4584,16.67,,-121.9096455,38.02264819
518,Placentia,city,CA,06,0657526,51824,7,7816.6,6.63,,-117.8552128,33.88085678
519,Placerville,city,CA,06,0657540,10747,6,1840.2,5.84,,-120.7979419,38.73087329
520,Pleasant Hill,city,CA,06,0657764,34613,6,4888.8,7.08,,-122.0759002,37.95415699
521,Pleasanton,city,CA,06,0657792,79871,7,3288.2,24.29,,-121.8805047,37.66601752
522,Pomona,city,CA,06,0658072,151713,8,6599.1,22.99,,-117.762555,34.05850595
523,Porterville,city,CA,06,0658240,62623,7,3348.8,18.7,,-119.0243325,36.06120415
524,Port Hueneme,city,CA,06,0658296,21954,6,5000.9,4.39,,-119.2033688,34.16195543
525,Poway,city,CA,06,0658520,48841,6,1247.2,39.16,,-117.0465244,32.95646193
526,Prunedale,Census Designated Place,CA,06,0658870,18885,6,408.8,46.2,,-121.6555088,36.80634793
527,Quartz Hill,Census Designated Place,CA,06,0659052,11447,6,3044.4,3.76,,-118.2163307,34.65268262
528,Ramona,Census Designated Place,CA,06,0659346,21468,6,558.2,38.46,,-116.8767159,33.04740959
529,Rancho Cordova,city,CA,06,0659444,79332,7,2274.4,34.88,,-121.2987774,38.57274981
530,Rancho Cucamonga,city,CA,06,0659451,174453,8,4348.3,40.12,,-117.55778,34.1121748
531,Rancho Mirage,city,CA,06,0659500,16999,6,660.4,25.74,,-116.427395,33.76181604
532,Rancho Palos Verdes,city,CA,06,0659514,42287,6,3139.3,13.47,,-118.3892378,33.74846498
533,Rancho San Diego,Census Designated Place,CA,06,0659550,21858,6,2512.4,8.7,,-116.9196965,32.76239678
534,Rancho Santa Margarita,city,CA,06,0659587,47949,6,3705.5,12.94,,-117.5988474,33.63177157
535,Red Bluff,city,CA,06,0659892,14710,6,1917.9,7.67,,-122.231591,40.16051024
536,Redding,city,CA,06,0659920,93611,7,1530.3,61.17,,-122.4141714,40.58880775
537,Redlands,city,CA,06,0659962,73168,7,2018.4,36.25,,-117.1728231,34.05244259
538,Redondo Beach,city,CA,06,0660018,71576,7,11525.9,6.21,,-118.3835432,33.84313158
539,Redwood City,city,CA,06,0660102,84292,7,5948.6,14.17,,-122.2329615,37.47815564
