agency_name,state_name,agency_id_nces_assigned_district,county_number,agency_name_district
b'ABERDEEN SCHOOL DISTRICT 06-1',b'South Dakota',4602070.0,46013.0,b'Aberdeen School District 06-1'
b'ABERNATHY ISD',b'Texas',4807410.0,48189.0,b'ABERNATHY ISD'
b'ABILENE',b'Kansas',2003180.0,20041.0,b'Abilene'
b'ABILENE ISD',b'Texas',4807440.0,48441.0,b'ABILENE ISD'
b'ABINGDON-AVON CUSD 276',b'Illinois',1701413.0,17095.0,b'Abingdon-Avon CUSD 276'
b'ABINGTON',b'Massachusetts',2501650.0,25023.0,b'Abington'
b'ABINGTON HEIGHTS SD',b'Pennsylvania',4202010.0,42069.0,b'Abington Heights SD'
b'ABINGTON SD',b'Pennsylvania',4202040.0,42091.0,b'Abington SD'
b'ABLE CHARTER DISTRICT',b'CALIFORNIA',601628.0,6077.0,b'Humphreys College Academy of Business Law and ED District'
b'ABQ SCHOOL OF EXCELLENCE',b'New Mexico',3500122.0,35001.0,b'ABQ SCHOOL OF EXCELLENCE'
b'ABQ SIGN LANGUAGE ACADEMY',b'New Mexico',3500123.0,35001.0,b'ABQ SIGN LANGUAGE ACADEMY'
b'ABSAROKEE ELEM',b'Montana',3001710.0,30095.0,b'Absarokee Elem'
b'ABSAROKEE H S',b'Montana',3001740.0,30095.0,b'Absarokee H S'
b'ABSECON PUBLIC SCHOOLS DISTRICT',b'New Jersey',3400660.0,34001.0,b'Absecon Public Schools District'
b'ACADEMIA ANTONIA ALONSO',b'Delaware',1000053.0,10003.0,b'Academia Antonia Alonso'
b'ACADEMIA AVANCE CHARTER DISTRICT',b'CALIFORNIA',602291.0,6037.0,b'Academia Avance Charter District'
b'ACADEMIA CESAR CHAVEZ CHARTER SCH.',b'Minnesota',2700185.0,27123.0,b'ACADEMIA CESAR CHAVEZ CHARTER SCH.'
b'ACADEMIA MODERNA DISTRICT',b'CALIFORNIA',602361.0,6037.0,b'Academia Moderna District'
b'ACADEMIC AND CAREER EDUCATION ACADEMY',b'Michigan',2600330.0,26111.0,b'Academic and Career Education Academy'
b'ACADEMIC ARTS HIGH SCHOOL',b'Minnesota',2700361.0,27037.0,b'ACADEMIC ARTS HIGH SCHOOL'
b'ACADEMIC LEADERSHIP CHARTER SCHOOL',b'New York',3601001.0,36005.0,b'ACADEMIC LEADERSHIP CHARTER SCHOOL'
b'ACADEMICS PLUS PUBLIC CHARTER SCHOOLS',b'Arkansas',500059.0,5119.0,b'ACADEMICS PLUS PUBLIC CHARTER SCHOOLS'
b'ACADEMIE LAFAYETTE',b'Missouri',2900017.0,29095.0,b'ACADEMIE LAFAYETTE'
b'ACADEMY CHARTER HIGH SCHOOL',b'New Jersey',3400048.0,34025.0,b'Academy Charter High School'
b'ACADEMY CHARTER SCHOOL',b'New York',3600997.0,36059.0,b'ACADEMY CHARTER SCHOOL'
b'ACADEMY CHARTER SCHOOL-UNIONDALE',b'NEW YORK',3601169.0,36059.0,b'ACADEMY CHARTER SCHOOL-UNIONDALE'
b'ACADEMY DEL SOL INC. (90199)',b'Arizona',400797.0,4019.0,b'Academy Del Sol Inc. (90199)'
b'ACADEMY FOR ACADEMIC EXCELLENCE',b'Texas',4800093.0,48113.0,b'ACADEMY FOR ACADEMIC EXCELLENCE'
b'ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT',b'CALIFORNIA',601911.0,6071.0,b'Academy for Academic Excellence District'
b'ACADEMY FOR BUSINESS AND TECHNOLOGY',b'Michigan',2600166.0,26163.0,b'Academy for Business and Technology'
b'ACADEMY FOR INTEGRATED ARTS',b'Missouri',2900604.0,29095.0,b'ACADEMY FOR INTEGRATED ARTS'
b'ACADEMY FOR MATH ENGINEERING & SCIENCE',b'Utah',4900017.0,49035.0,b'Academy for Math Engineering & Science'
b'ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL',b'New Hampshire',3300040.0,33011.0,b'Academy for Science and Design Charter School'
b'ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL',b'New Jersey',3400741.0,34023.0,b'Academy for Urban Leadership Charter School'
b'ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN',b'Ohio',3901472.0,39099.0,b'Academy for Urban Scholars Youngstown'
b'ACADEMY ISD',b'Texas',4807470.0,48027.0,b'ACADEMY ISD'
b'ACADEMY OF ACCELERATED LEARNING INC',b'Texas',4800032.0,48201.0,b'ACADEMY OF ACCELERATED LEARNING INC'
b'ACADEMY OF BUILDING INDUSTRIES INC. (85540)',b'Arizona',400414.0,4015.0,b'Academy of Building Industries Inc. (85540)'
b'ACADEMY OF DALLAS',b'Texas',4800090.0,48113.0,b'ACADEMY OF DALLAS'
b'ACADEMY OF DOVER CHARTER SCHOOL',b'Delaware',1000017.0,10001.0,b'Academy of Dover Charter School'
b'ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL',b'NEW YORK',3601190.0,36055.0,b'ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL'
b'ACADEMY OF HOPE ADULT PCS',b'DISTRICT OF COLUMBIA',1100094.0,11001.0,b'Academy of Hope Adult PCS'
b'ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961)',b'Arizona',400368.0,4019.0,b'Academy of Mathematics and Science Inc. (79961)'
b'ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768)',b'ARIZONA',400940.0,4013.0,b'Academy of Mathematics and Science Inc. (92768)'
b'ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878)',b'Arizona',400891.0,4019.0,b'Academy of Mathematics and Science South Inc. (90878)'
b'ACADEMY OF MEDIA ARTS DISTRICT',b'CALIFORNIA',602503.0,6037.0,b'Academy of Media Arts District'
b'ACADEMY OF SEMINOLE (CHARTER)',b'OKLAHOMA',4000803.0,40133.0,b'ACADEMY OF SEMINOLE CHARTER'
b'ACADEMY OF THE CITY CHARTER SCHOOL',b'New York',3601053.0,36081.0,b'ACADEMY OF THE CITY CHARTER SCHOOL'
b'ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT)',b'Massachusetts',2500021.0,25025.0,b'Academy Of the Pacific Rim Charter Public (District)'
b'ACADEMY OF TUCSON INC. (78897)',b'Arizona',400202.0,4019.0,b'Academy of Tucson Inc. (78897)'
b'ACADEMY OF WARREN',b'Michigan',2600308.0,26099.0,b'Academy of Warren'
b'ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN',b'Colorado',801920.0,8041.0,b'Academy School District No. 20 in the county of El Paso an'
b'ACADEMY WITH COMMUNITY PARTNERS-ARIZONA INC (79213)',b'Arizona',400276.0,4013.0,b'Academy with Community Partners  Inc (79213)'
b'ACADIA ACADEMY',b'MAINE',2314831.0,23001.0,b'Acadia Academy'
b'ACADIA PARISH',b'Louisiana',2200030.0,22001.0,b'Acadia Parish'
b'ACADIANA RENAISSANCE CHARTER ACADEMY',b'LOUISIANA',2200231.0,22055.0,b'Acadiana Renaissance Charter Academy'
b'ACALANES UNION HIGH',b'California',601650.0,6013.0,b'Acalanes Union High'
b'ACCELERATED CHARTER ELEMENTARY DISTRICT',b'CALIFORNIA',601471.0,6037.0,b'Accelerated Charter Elementary District'
b'ACCELERATED DISTRICT',b'CALIFORNIA',601732.0,6037.0,b'Accelerated District'
b'ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364)',b'Arizona',400129.0,4019.0,b'Accelerated Elementary and Secondary Schools (6364)'
b'ACCELERATED INTERMEDIATE ACADEMY',b'Texas',4800192.0,48201.0,b'ACCELERATED INTERMEDIATE ACADEMY'
b'ACCELERATED LEARNING CENTER INC. (4297)',b'Arizona',400121.0,4013.0,b'Accelerated Learning Center Inc. (4297)'
b'ACCEPT EDUCATION COLLABORATIVE',b'MASSACHUSETTS',2500578.0,25017.0,b'ACCEPT Education Collaborative'
b'ACCLAIM CHARTER SCHOOL (4325)',b'Arizona',400122.0,4013.0,b'Acclaim Charter School (4325)'
b'ACCOMACK COUNTY PUBLIC SCHOOLS',b'Virginia',5100060.0,51001.0,b'ACCOMACK CO PBLC SCHS'
b'ACE AMANDLA CHARTER SCHOOL',b'ILLINOIS',1701426.0,17031.0,b'ACE Amandla Charter School'
b'ACE CHARTER HIGH DISTRICT',b'CALIFORNIA',601561.0,6085.0,b'ACE Charter High District'
b'ACE EMPOWER ACADEMY DISTRICT',b'CALIFORNIA',602217.0,6085.0,b'ACE Empower Academy District'
b'ACE ESPERANZA MIDDLE DISTRICT',b'CALIFORNIA',601852.0,6085.0,b'ACE Esperanza Middle District'
b'ACE INSPIRE ACADEMY DISTRICT',b'CALIFORNIA',602138.0,6085.0,b'ACE Inspire Academy District'
b'ACE PREPARATORY ACADEMY',b'INDIANA',1800172.0,18097.0,b'ACE Preparatory Academy'
b'ACES TECHNICAL CHARTER SCHOOL',b'NEW MEXICO',3500185.0,35001.0,b'ACES TECHNICAL CHARTER SCHOOL'
b'ACHIEVE ACADEMY DISTRICT',b'CALIFORNIA',602165.0,6001.0,b'Achieve Academy District'
b'ACHIEVE CAREER PREPARATORY ACADEMY',b'Ohio',3901362.0,39095.0,b'Achieve Career Preparatory Academy'
b'ACHIEVE CHARTER ACADEMY',b'Michigan',2600963.0,26163.0,b'Achieve Charter Academy'
b'ACHIEVE CHARTER HIGH DISTRICT',b'CALIFORNIA',601615.0,6007.0,b'Achieve Charter High District'
b'ACHIEVE CHARTER SCHOOL OF CHICO DISTRICT',b'CALIFORNIA',602570.0,6007.0,b'Achieve Charter School of Chico District'
b'ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT',b'CALIFORNIA',602133.0,6007.0,b'Achieve Charter School of Paradise Inc. District'
b'ACHIEVE COMMUNITY CHARTER SCHOOL',b'NEW JERSEY',3400792.0,34013.0,b'Achieve Community Charter School'
b'ACHIEVE LANGUAGE ACADEMY',b'Minnesota',2700118.0,27123.0,b'ACHIEVE LANGUAGE ACADEMY'
b'ACHIEVEMENT CHARTER ACADEMY',b'NORTH CAROLINA',3700459.0,37085.0,b'Achievement Charter Academy'
b'ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL',b'New York',3601028.0,36047.0,b'ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL'
b'ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL',b'New York',3601109.0,36047.0,b'ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL'
b'ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT',b'Connecticut',900208.0,9009.0,b'Achievement First Bridgeport Academy District'
b'ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL',b'New York',3600969.0,36047.0,b'ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL'
b'ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL',b'New York',3600147.0,36047.0,b'ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL'
b'ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL',b'New York',3600149.0,36047.0,b'ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL'
b'ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL',b'New York',3600170.0,36047.0,b'ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL'
b'ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT',b'Connecticut',900212.0,9009.0,b'Achievement First Hartford Academy District'
b'ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL',b'NEW YORK',3601230.0,36081.0,b'ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL'
b'ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL',b'NEW YORK',3601112.0,36047.0,b'ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL'
b'ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL',b'NEW YORK',3601124.0,36047.0,b'ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL'
b'ACHIEVEMENT FIRST RHODE ISLAND',b'Rhode Island',4400021.0,44007.0,b'Achievement First Rhode Island'
b'ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL',b'NEW YORK',3601143.0,36047.0,b'ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL'
b'ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL',b'New York',3600166.0,36047.0,b'ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL'
b'ACHIEVEMENT HOUSE CS',b'Pennsylvania',4200128.0,42029.0,b'Achievement House CS'
b'ACHIEVEMENT PREPARATORY ACADEMY PCS',b'District of Columbia',1100072.0,11001.0,b'Achievement Preparatory Academy PCS'
b'ACHIEVEMENT SCHOOL DISTRICT',b'Tennessee',4700147.0,47037.0,b'Achievement School District'
b'ACHIEVEPOINT CAREER ACADEMY - CINCINNATI',b'OHIO',3901602.0,39061.0,b'AchievePoint Career Academy - Cincinnati'
b'ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL',b'NEW JERSEY',3400794.0,34021.0,b'Achievers Early College Prep Charter School'
b'ACHILLE',b'Oklahoma',4002370.0,40013.0,b'ACHILLE'
b'ACKERMAN CHARTER',b'California',601680.0,6061.0,b'Ackerman Charter'
b'ACORN MONTESSORI CHARTER SCHOOL (79437)',b'Arizona',400320.0,4025.0,b'Acorn Montessori Charter School (79437)'
b'ACTON PUBLIC SCHOOLS',b'Maine',2302220.0,23031.0,b'Acton Public Schools'
b'ACTON-AGUA DULCE UNIFIED',b'California',600001.0,6037.0,b'Acton-Agua Dulce Unified'
b'ACTON-BOXBOROUGH',b'Massachusetts',2501710.0,25017.0,b'Acton-Boxborough'
b'ACUSHNET',b'Massachusetts',2501740.0,25005.0,b'Acushnet'
b'AD PRIMA CS',b'Pennsylvania',4200129.0,42101.0,b'Ad Prima CS'
b'ADA',b'Oklahoma',4002430.0,40123.0,b'ADA'
b'ADA EXEMPTED VILLAGE',b'Ohio',3904518.0,39065.0,b'Ada Exempted Village'
b'ADA-BORUP-WEST PUBLIC SCHOOLS',b'MINNESOTA',2700480.0,27107.0,b'Ada-Borup-West Public Schools'
b'ADAIR',b'Oklahoma',4002460.0,40097.0,b'ADAIR'
b'ADAIR CO. R-I',b'Missouri',2922980.0,29001.0,b'ADAIR CO. R-I'
b'ADAIR CO. R-II',b'Missouri',2905790.0,29001.0,b'ADAIR CO. R-II'
b'ADAIR COUNTY',b'Kentucky',2100030.0,21001.0,b'Adair County'
b'ADAIR-CASEY COMM SCHOOL DISTRICT',b'Iowa',1903090.0,19077.0,b'Adair-Casey Comm School District'
b'ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE',b'Illinois',1700162.0,17001.0,b'Adam/Brwn/Cass/Morgn/Pik/Sctt ROE'
b'ADAMS 1 MAPLETON AU',b'Colorado',800258.0,8001.0,b'Adams 1 Mapleton AU'
b'ADAMS 12 FIVE STAR SCHOOLS',b'Colorado',806900.0,8001.0,b'Adams 12 Five Star Schools'
b'ADAMS 12 NORTHGLENN AU',b'Colorado',800268.0,8001.0,b'Adams 12 Northglenn AU'
b'ADAMS 14 COMMERCE CITY AU',b'Colorado',800272.0,8001.0,b'Adams 14 Commerce City AU'
b'ADAMS 27J SCHOOL DISTRICT 27J AU',b'Colorado',800237.0,8001.0,b'Adams 27J School District 27J AU'
b'ADAMS CENTRAL COMMUNITY SCHOOLS',b'Indiana',1800060.0,18001.0,b'Adams Central Community Schools'
b'ADAMS CENTRAL PUBLIC SCHOOLS',b'Nebraska',3102770.0,31001.0,b'ADAMS CENTRAL PUBLIC SCHOOLS'
b'ADAMS COUNTY BOCES',b'Colorado',800009.0,8001.0,b'Adams County BOCES'
b'ADAMS COUNTY OHIO VALLEY LOCAL',b'Ohio',3906190.0,39001.0,b'Adams County Ohio Valley Local'
b'ADAMS COUNTY TECHNICAL INSTITUTE',b'PENNSYLVANIA',4200905.0,42001.0,b'Adams County Technical Institute'
b'ADAMS TOWNSHIP SCHOOL DISTRICT',b'Michigan',2601890.0,26061.0,b'Adams Township School District'
b'ADAMS-ARAP 28J AURORA AU',b'Colorado',800255.0,8005.0,b'Adams-Arap 28J Aurora AU'
b'ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT',b'Wisconsin',5500060.0,55001.0,b'Adams-Friendship Area School District'
b'ADDISON CENTRAL SCHOOL DISTRICT',b'New York',3602370.0,36101.0,b'ADDISON CENTRAL SCHOOL DISTRICT'
b'ADDISON CENTRAL SUPERVISORY DISTRICT',b'Vermont',5099903.0,50001.0,b'Addison Central Supervisory Union'
b'ADDISON CENTRAL UNIFIED UNION SCHOOL DISTRICT #55',b'VERMONT',5000402.0,50001.0,b'Addison Central Unified School District'
b'ADDISON COMMUNITY SCHOOLS',b'Michigan',2601920.0,26091.0,b'Addison Community Schools'
b'ADDISON NORTHWEST SUPERVISORY DISTRICT',b'Vermont',5099902.0,50001.0,b'Addison Northwest Supervisory Union'
b'ADDISON NORTHWEST UNIFIED UNION SCHOOL DISTRICT #54',b'VERMONT',5000398.0,50001.0,b'Addison Northwest Unified School District'
b'ADDISON SD 4',b'Illinois',1703150.0,17043.0,b'Addison SD 4'
b'ADEL DESOTO MINBURN COMM SCHOOL DISTRICT',b'Iowa',1903150.0,19049.0,b'Adel DeSoto Minburn Comm School District'
b'ADEL SD 21',b'Oregon',4100990.0,41037.0,b'Adel SD 21'
b'ADELANTE CHARTER DISTRICT',b'CALIFORNIA',602343.0,6083.0,b'Adelante Charter District'
b'ADELANTE SCHOOLS',b'INDIANA',1800216.0,18097.0,b'Adelante Schools'
b'ADELANTO ELEMENTARY',b'California',601710.0,6071.0,b'Adelanto Elementary'
b'ADELINE MONTESSORI SCHOOL INC',b'WISCONSIN',5500089.0,55133.0,b'Adeline Montessori School Inc Agency'
b'ADENA LOCAL',b'Ohio',3904949.0,39141.0,b'Adena Local'
b'ADIRONDACK CENTRAL SCHOOL DISTRICT',b'New York',3605040.0,36065.0,b'ADIRONDACK CENTRAL SCHOOL DISTRICT'
b'ADLAI E STEVENSON HSD 125',b'Illinois',1732580.0,17097.0,b'Adlai E Stevenson HSD 125'
b'ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL',b'Pennsylvania',4280120.0,42021.0,b'Admiral Peary AVTS'
b'ADNA SCHOOL DISTRICT',b'Washington',5300060.0,53041.0,b'Adna School District'
b'ADRIAN ISD',b'Texas',4807500.0,48359.0,b'ADRIAN ISD'
b'ADRIAN PUBLIC SCHOOL DISTRICT',b'Minnesota',2702730.0,27105.0,b'ADRIAN PUBLIC SCHOOL DISTRICT'
b'ADRIAN PUBLIC SCHOOLS',b'Michigan',2601950.0,26091.0,b'Adrian Public Schools'
b'ADRIAN R-III',b'Missouri',2902850.0,29013.0,b'ADRIAN R-III'
b'ADRIAN SD 61',b'Oregon',4101020.0,41045.0,b'Adrian SD 61'
b'ADVANCE R-IV',b'Missouri',2902880.0,29207.0,b'ADVANCE R-IV'
b'ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT)',b'Massachusetts',2500085.0,25017.0,b'Advanced Math and Science Academy Charter (District)'
b'ADVANCED TECHNOLOGY ACADEMY',b'Michigan',2600255.0,26163.0,b'Advanced Technology Academy'
b'ADVANTAGE ACADEMY',b'Texas',4800041.0,48113.0,b'ADVANTAGE ACADEMY'
b'ADVANTAGE ARTS ACADEMY',b'UTAH',4900198.0,49035.0,b'Advantage Arts Academy'
b'ADVANTAGE CHARTER ACADEMY',b'LOUISIANA',2200268.0,22033.0,b'Advantage Charter Academy'
b'AEA 13 GREEN HILLS AEA',b'Iowa',1999013.0,19155.0,b'AEA 13 Green Hills AEA'
b'AECI II:  NYC CHARTER HS',b'NEW YORK',3601195.0,36005.0,b'AECI II:  NYC CHARTER HS-COMP ENGIN'
b'AEROSTEM ACADEMY DISTRICT',b'CALIFORNIA',601724.0,6101.0,b'AeroSTEM Academy District'
b'AFFTON 101',b'Missouri',2902910.0,29189.0,b'AFFTON 101'
b'AFSA HIGH SCHOOL',b'Minnesota',2700186.0,27123.0,b'AFSA HIGH SCHOOL'
b'AFTON',b'Oklahoma',4002520.0,40115.0,b'AFTON'
b'AFTON CENTRAL SCHOOL DISTRICT',b'New York',3602400.0,36017.0,b'AFTON CENTRAL SCHOOL DISTRICT'
b'AGAMIM CLASSICAL ACADEMY',b'Minnesota',2700394.0,27053.0,b'Agamim Classical Academy'
b'AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3',b'South Dakota',4600042.0,46119.0,b'Agar-Blunt-Onida School District 58-3'
b'AGATE SCHOOL DISTRICT NO. 300',b'Colorado',801980.0,8039.0,b'Agate School District No. 300'
b'AGAWAM',b'Massachusetts',2501800.0,25013.0,b'Agawam'
b'AGBU ALEX-MARIE MANOOGIAN SCHOOL',b'Michigan',2600106.0,26125.0,b'AGBU Alex-Marie Manoogian School'
b'AGNES J. JOHNSON CHARTER DISTRICT',b'CALIFORNIA',602543.0,6023.0,b'Agnes J. Johnson Charter District'
b'AGORA CYBER CS',b'Pennsylvania',4200140.0,42091.0,b'Agora Cyber CS'
b'AGRA',b'Oklahoma',4002550.0,40081.0,b'AGRA'
b'AGUA DULCE ISD',b'Texas',4807530.0,48355.0,b'AGUA DULCE ISD'
b'AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)',b'Arizona',400450.0,4013.0,b'Agua Fria Union High School District (4289)'
b'AGUILA ELEMENTARY DISTRICT (4249)',b'Arizona',400480.0,4013.0,b'Aguila Elementary District (4249)'
b'AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6',b'Colorado',802010.0,8071.0,b'Aguilar Reorganized School District No. 6'
b'AGWSR COMM SCHOOL DISTRICT',b'Iowa',1903060.0,19083.0,b'AGWSR Comm School District'
b'AHSTW COMM SCHOOL DISTRICT',b'Iowa',1904080.0,19155.0,b'AHSTW Comm School District'
b'AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053)',b'Arizona',400274.0,4013.0,b'AIBT Non-Profit Charter High School - Phoenix (79053)'
b'AIBT NON-PROFIT CHARTER HIGH SCHOOL INC. (449790)',b'ARIZONA',400970.0,4013.0,b'AIBT Non-Profit Charter High School Inc. (449790)'
b'AIKEN 01',b'South Carolina',4500720.0,45003.0,b'Aiken 01'
b'AIM ACADEMY OF SCIENCE & TECHNOLOGY',b'MINNESOTA',2700469.0,27053.0,b'Aim Academy of Science & Technology'
b'AIMS COLLEGE PREP HIGH DISTRICT',b'CALIFORNIA',602227.0,6001.0,b'American Indian Public High District'
b'AIMS COLLEGE PREP MIDDLE DISTRICT',b'CALIFORNIA',601479.0,6001.0,b'American Indian Public Charter District'
b'AINSWORTH COMMUNITY SCHOOLS',b'Nebraska',3102790.0,31017.0,b'AINSWORTH COMMUNITY SCHOOLS'
b'AIRLINE CSD',b'Maine',2302500.0,23019.0,b'Airline CSD'
b'AIRPORT COMMUNITY SCHOOLS',b'Michigan',2601980.0,26115.0,b'Airport Community Schools'
b'AITKIN PUBLIC SCHOOL DISTRICT',b'Minnesota',2702760.0,27001.0,b'AITKIN PUBLIC SCHOOL DISTRICT'
b'AJO UNIFIED DISTRICT (4409)',b'Arizona',400520.0,4019.0,b'Ajo Unified District (4409)'
b'AKILI ACADEMY OF NEW ORLEANS',b'LOUISIANA',2200208.0,22071.0,b'Akili Academy of New Orleans'
b'AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978)',b'Arizona',400403.0,4021.0,b'Akimel O Otham Pee Posh Charter School Inc. (5978)'
"b""AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966)""",b'Arizona',400404.0,4021.0,"b""Akimel O'Otham Pee Posh Charter School Inc. (78966)"""
b'AKIN CCSD 91',b'Illinois',1703210.0,17055.0,b'Akin CCSD 91'
b'AKRON CAREER TECH HIGH SCHOOL',b'OHIO',3901631.0,39153.0,b'Akron Career Tech High School'
b'AKRON CENTRAL SCHOOL DISTRICT',b'New York',3602430.0,36029.0,b'AKRON CENTRAL SCHOOL DISTRICT'
b'AKRON CITY',b'Ohio',3904348.0,39153.0,b'Akron City'
b'AKRON PREPARATORY SCHOOL',b'Ohio',3901503.0,39153.0,b'Akron Preparatory School'
b'AKRON SCHOOL DISTRICT NO. R-1',b'Colorado',802040.0,8121.0,b'Akron School District No. R-1'
b'AKRON WESTFIELD COMM SCHOOL DISTRICT',b'Iowa',1903220.0,19149.0,b'Akron Westfield Comm School District'
b'AKRON-FAIRGROVE SCHOOLS',b'Michigan',2602010.0,26157.0,b'Akron-Fairgrove Schools'
b'AKROS MIDDLE SCHOOL',b'Ohio',3901428.0,39153.0,b'Akros Middle School'
b'AL INST DEAF AND BLIND',b'Alabama',100009.0,1121.0,b'Al Inst Deaf And Blind'
b'AL SCH OF MATH AND SCIENCE',b'Alabama',100010.0,1097.0,b'Al Sch Of Math And Science'
b'ALA CHARLOTTE',b'North Carolina',3700350.0,37119.0,b'Aristotle Preparatory Academy'
