statecode,countycode,v176_rawvalue,v176_capitol_name
05,021,NA,NA
05,023,NA,NA
05,025,NA,NA
05,027,NA,NA
05,029,NA,NA
05,031,NA,NA
05,033,NA,NA
05,035,NA,NA
05,037,NA,NA
05,039,NA,NA
05,041,NA,NA
05,043,NA,NA
05,045,NA,NA
05,047,NA,NA
05,049,NA,NA
05,051,NA,NA
05,053,NA,NA
05,055,NA,NA
05,057,NA,NA
05,059,NA,NA
05,061,NA,NA
05,063,NA,NA
05,065,NA,NA
05,067,NA,NA
05,069,NA,NA
05,071,NA,NA
05,073,NA,NA
05,075,NA,NA
05,077,NA,NA
05,079,NA,NA
05,081,NA,NA
05,083,NA,NA
05,085,NA,NA
05,087,NA,NA
05,089,NA,NA
05,091,NA,NA
05,093,NA,NA
05,095,NA,NA
05,097,NA,NA
05,099,NA,NA
05,101,NA,NA
05,103,NA,NA
05,105,NA,NA
05,107,NA,NA
05,109,NA,NA
05,111,NA,NA
05,113,NA,NA
05,115,NA,NA
05,117,NA,NA
05,119,1,Little Rock
05,121,NA,NA
05,123,NA,NA
05,125,NA,NA
05,127,NA,NA
05,129,NA,NA
05,131,NA,NA
05,133,NA,NA
05,135,NA,NA
05,137,NA,NA
05,139,NA,NA
05,141,NA,NA
05,143,NA,NA
05,145,NA,NA
05,147,NA,NA
05,149,NA,NA
06,000,NA,NA
06,001,NA,NA
06,003,NA,NA
06,005,NA,NA
06,007,NA,NA
06,009,NA,NA
06,011,NA,NA
06,013,NA,NA
06,015,NA,NA
06,017,NA,NA
06,019,NA,NA
06,021,NA,NA
06,023,NA,NA
06,025,NA,NA
06,027,NA,NA
06,029,NA,NA
06,031,NA,NA
06,033,NA,NA
06,035,NA,NA
06,037,NA,NA
06,039,NA,NA
06,041,NA,NA
06,043,NA,NA
06,045,NA,NA
06,047,NA,NA
06,049,NA,NA
06,051,NA,NA
06,053,NA,NA
06,055,NA,NA
06,057,NA,NA
06,059,NA,NA
06,061,NA,NA
06,063,NA,NA
06,065,NA,NA
06,067,1,Sacramento
06,069,NA,NA
06,071,NA,NA
06,073,NA,NA
06,075,NA,NA
06,077,NA,NA
06,079,NA,NA
06,081,NA,NA
06,083,NA,NA
06,085,NA,NA
06,087,NA,NA
06,089,NA,NA
06,091,NA,NA
06,093,NA,NA
06,095,NA,NA
06,097,NA,NA
06,099,NA,NA
06,101,NA,NA
06,103,NA,NA
06,105,NA,NA
06,107,NA,NA
06,109,NA,NA
06,111,NA,NA
06,113,NA,NA
06,115,NA,NA
08,000,NA,NA
08,001,NA,NA
08,003,NA,NA
08,005,NA,NA
08,007,NA,NA
08,009,NA,NA
08,011,NA,NA
08,013,NA,NA
08,014,NA,NA
08,015,NA,NA
08,017,NA,NA
08,019,NA,NA
08,021,NA,NA
08,023,NA,NA
08,025,NA,NA
08,027,NA,NA
08,029,NA,NA
08,031,1,Denver
08,033,NA,NA
08,035,NA,NA
08,037,NA,NA
08,039,NA,NA
08,041,NA,NA
08,043,NA,NA
08,045,NA,NA
08,047,NA,NA
08,049,NA,NA
08,051,NA,NA
08,053,NA,NA
08,055,NA,NA
08,057,NA,NA
08,059,NA,NA
08,061,NA,NA
08,063,NA,NA
08,065,NA,NA
08,067,NA,NA
08,069,NA,NA
08,071,NA,NA
08,073,NA,NA
08,075,NA,NA
08,077,NA,NA
08,079,NA,NA
08,081,NA,NA
08,083,NA,NA
08,085,NA,NA
08,087,NA,NA
08,089,NA,NA
08,091,NA,NA
08,093,NA,NA
08,095,NA,NA
08,097,NA,NA
08,099,NA,NA
08,101,NA,NA
08,103,NA,NA
08,105,NA,NA
08,107,NA,NA
08,109,NA,NA
08,111,NA,NA
08,113,NA,NA
08,115,NA,NA
08,117,NA,NA
08,119,NA,NA
08,121,NA,NA
08,123,NA,NA
08,125,NA,NA
09,000,NA,NA
09,001,NA,NA
09,003,1,Hartford
09,005,NA,NA
09,007,NA,NA
09,009,NA,NA
09,011,NA,NA
09,013,NA,NA
09,015,NA,NA
09,110,1,Hartford
09,120,NA,NA
09,130,NA,NA
09,140,NA,NA
09,150,NA,NA
09,160,NA,NA
09,170,NA,NA
09,180,NA,NA
09,190,NA,NA
10,000,NA,NA
10,001,1,Dover
10,003,NA,NA
10,005,NA,NA
11,000,NA,NA
11,001,NA,NA
12,000,NA,NA
12,001,NA,NA
12,003,NA,NA
12,005,NA,NA
12,007,NA,NA
12,009,NA,NA
12,011,NA,NA
12,013,NA,NA
12,015,NA,NA
12,017,NA,NA
12,019,NA,NA
12,021,NA,NA
12,023,NA,NA
12,027,NA,NA
12,029,NA,NA
12,031,NA,NA
12,033,NA,NA
12,035,NA,NA
12,037,NA,NA
12,039,NA,NA
12,041,NA,NA
12,043,NA,NA
12,045,NA,NA
12,047,NA,NA
12,049,NA,NA
12,051,NA,NA
12,053,NA,NA
12,055,NA,NA
12,057,NA,NA
12,059,NA,NA
12,061,NA,NA
12,063,NA,NA
12,065,NA,NA
12,067,NA,NA
12,069,NA,NA
12,071,NA,NA
12,073,1,Tallahassee
12,075,NA,NA
12,077,NA,NA
12,079,NA,NA
12,081,NA,NA
12,083,NA,NA
12,085,NA,NA
12,086,NA,NA
12,087,NA,NA
12,089,NA,NA
12,091,NA,NA
12,093,NA,NA
12,095,NA,NA
12,097,NA,NA
12,099,NA,NA
12,101,NA,NA
12,103,NA,NA
12,105,NA,NA
12,107,NA,NA
12,109,NA,NA
12,111,NA,NA
12,113,NA,NA
12,115,NA,NA
12,117,NA,NA
12,119,NA,NA
12,121,NA,NA
12,123,NA,NA
12,125,NA,NA
12,127,NA,NA
12,129,NA,NA
12,131,NA,NA
12,133,NA,NA
13,000,NA,NA
13,001,NA,NA
13,003,NA,NA
13,005,NA,NA
13,007,NA,NA
13,009,NA,NA
13,011,NA,NA
13,013,NA,NA
13,015,NA,NA
13,017,NA,NA
13,019,NA,NA
13,021,NA,NA
13,023,NA,NA
13,025,NA,NA
13,027,NA,NA
13,029,NA,NA
13,031,NA,NA
13,033,NA,NA
13,035,NA,NA
13,037,NA,NA
13,039,NA,NA
13,043,NA,NA
13,045,NA,NA
13,047,NA,NA
13,049,NA,NA
13,051,NA,NA
13,053,NA,NA
13,055,NA,NA
13,057,NA,NA
13,059,NA,NA
13,061,NA,NA
13,063,NA,NA
13,065,NA,NA
13,067,NA,NA
13,069,NA,NA
13,071,NA,NA
13,073,NA,NA
13,075,NA,NA
13,077,NA,NA
13,079,NA,NA
13,081,NA,NA
13,083,NA,NA
13,085,NA,NA
13,087,NA,NA
13,089,1,Atlanta
13,091,NA,NA
13,093,NA,NA
13,095,NA,NA
13,097,NA,NA
13,099,NA,NA
13,101,NA,NA
13,103,NA,NA
13,105,NA,NA
13,107,NA,NA
13,109,NA,NA
13,111,NA,NA
13,113,NA,NA
13,115,NA,NA
13,117,NA,NA
13,119,NA,NA
13,121,1,Atlanta
13,123,NA,NA
13,125,NA,NA
13,127,NA,NA
13,129,NA,NA
13,131,NA,NA
13,133,NA,NA
13,135,NA,NA
13,137,NA,NA
13,139,NA,NA
13,141,NA,NA
13,143,NA,NA
13,145,NA,NA
13,147,NA,NA
13,149,NA,NA
13,151,NA,NA
13,153,NA,NA
13,155,NA,NA
13,157,NA,NA
13,159,NA,NA
13,161,NA,NA
13,163,NA,NA
13,165,NA,NA
13,167,NA,NA
13,169,NA,NA
13,171,NA,NA
13,173,NA,NA
13,175,NA,NA
13,177,NA,NA
13,179,NA,NA
13,181,NA,NA
13,183,NA,NA
13,185,NA,NA
13,187,NA,NA
13,189,NA,NA
13,191,NA,NA
13,193,NA,NA
13,195,NA,NA
13,197,NA,NA
13,199,NA,NA
13,201,NA,NA
13,205,NA,NA
13,207,NA,NA
13,209,NA,NA
13,211,NA,NA
13,213,NA,NA
13,215,NA,NA
13,217,NA,NA
13,219,NA,NA
13,221,NA,NA
13,223,NA,NA
13,225,NA,NA
13,227,NA,NA
13,229,NA,NA
13,231,NA,NA
13,233,NA,NA
13,235,NA,NA
13,237,NA,NA
13,239,NA,NA
13,241,NA,NA
13,243,NA,NA
13,245,NA,NA
13,247,NA,NA
13,249,NA,NA
13,251,NA,NA
13,253,NA,NA
13,255,NA,NA
13,257,NA,NA
13,259,NA,NA
13,261,NA,NA
13,263,NA,NA
13,265,NA,NA
13,267,NA,NA
13,269,NA,NA
13,271,NA,NA
13,273,NA,NA
13,275,NA,NA
13,277,NA,NA
13,279,NA,NA
13,281,NA,NA
13,283,NA,NA
13,285,NA,NA
13,287,NA,NA
13,289,NA,NA
13,291,NA,NA
13,293,NA,NA
13,295,NA,NA
13,297,NA,NA
13,299,NA,NA
13,301,NA,NA
13,303,NA,NA
13,305,NA,NA
13,307,NA,NA
13,309,NA,NA
13,311,NA,NA
13,313,NA,NA
13,315,NA,NA
13,317,NA,NA
13,319,NA,NA
13,321,NA,NA
15,000,NA,NA
15,001,NA,NA
15,003,1,Urban Honolulu
15,005,NA,NA
15,007,NA,NA
15,009,NA,NA
16,000,NA,NA
16,001,1,Boise City
16,003,NA,NA
16,005,NA,NA
16,007,NA,NA
16,009,NA,NA
16,011,NA,NA
16,013,NA,NA
16,015,NA,NA
16,017,NA,NA
16,019,NA,NA
16,021,NA,NA
16,023,NA,NA
16,025,NA,NA
16,027,NA,NA
16,029,NA,NA
16,031,NA,NA
16,033,NA,NA
16,035,NA,NA
16,037,NA,NA
16,039,NA,NA
16,041,NA,NA
16,043,NA,NA
16,045,NA,NA
16,047,NA,NA
16,049,NA,NA
16,051,NA,NA
16,053,NA,NA
16,055,NA,NA
16,057,NA,NA
16,059,NA,NA
16,061,NA,NA
16,063,NA,NA
16,065,NA,NA
16,067,NA,NA
16,069,NA,NA
16,071,NA,NA
16,073,NA,NA
16,075,NA,NA
16,077,NA,NA
16,079,NA,NA
16,081,NA,NA
16,083,NA,NA
16,085,NA,NA
16,087,NA,NA
17,000,NA,NA
17,001,NA,NA
17,003,NA,NA
17,005,NA,NA
17,007,NA,NA
17,009,NA,NA
17,011,NA,NA
17,013,NA,NA
17,015,NA,NA
17,017,NA,NA
17,019,NA,NA
17,021,NA,NA
17,023,NA,NA
17,025,NA,NA
17,027,NA,NA
17,029,NA,NA
17,031,NA,NA
17,033,NA,NA
17,035,NA,NA
17,037,NA,NA
17,039,NA,NA
17,041,NA,NA
17,043,NA,NA
17,045,NA,NA
17,047,NA,NA
17,049,NA,NA
17,051,NA,NA
17,053,NA,NA
17,055,NA,NA
17,057,NA,NA
17,059,NA,NA
17,061,NA,NA
17,063,NA,NA
17,065,NA,NA
17,067,NA,NA
17,069,NA,NA
17,071,NA,NA
17,073,NA,NA
17,075,NA,NA
17,077,NA,NA
17,079,NA,NA
17,081,NA,NA
17,083,NA,NA
17,085,NA,NA
17,087,NA,NA
17,089,NA,NA
17,091,NA,NA
17,093,NA,NA
17,095,NA,NA
17,097,NA,NA
17,099,NA,NA
17,101,NA,NA
17,103,NA,NA
17,105,NA,NA
17,107,NA,NA
17,109,NA,NA
17,111,NA,NA
17,113,NA,NA
17,115,NA,NA
17,117,NA,NA
17,119,NA,NA
17,121,NA,NA
17,123,NA,NA
17,125,NA,NA
17,127,NA,NA
17,129,NA,NA
17,131,NA,NA
17,133,NA,NA
17,135,NA,NA
17,137,NA,NA
17,139,NA,NA
17,141,NA,NA
17,143,NA,NA
17,145,NA,NA
17,147,NA,NA
17,149,NA,NA
17,151,NA,NA
17,153,NA,NA
17,155,NA,NA
17,157,NA,NA
17,159,NA,NA
17,161,NA,NA
17,163,NA,NA
17,165,NA,NA
17,167,1,Springfield
17,169,NA,NA
17,171,NA,NA
17,173,NA,NA
17,175,NA,NA
17,177,NA,NA
17,179,NA,NA
17,181,NA,NA
17,183,NA,NA
17,185,NA,NA
17,187,NA,NA
17,189,NA,NA
17,191,NA,NA
17,193,NA,NA
17,195,NA,NA
17,197,NA,NA
17,199,NA,NA
17,201,NA,NA
17,203,NA,NA
18,000,NA,NA
18,001,NA,NA
18,003,NA,NA
18,005,NA,NA
18,007,NA,NA
18,009,NA,NA
18,011,NA,NA
18,013,NA,NA
18,015,NA,NA
18,017,NA,NA
18,019,NA,NA
18,021,NA,NA
18,023,NA,NA
18,025,NA,NA
18,027,NA,NA
18,029,NA,NA
18,031,NA,NA
18,033,NA,NA
18,035,NA,NA
18,037,NA,NA
18,039,NA,NA
18,041,NA,NA
18,043,NA,NA
18,045,NA,NA
18,047,NA,NA
18,049,NA,NA
18,051,NA,NA
18,053,NA,NA
18,055,NA,NA
18,057,NA,NA
18,059,NA,NA
18,061,NA,NA
18,063,NA,NA
18,065,NA,NA
18,067,NA,NA
18,069,NA,NA
18,071,NA,NA
18,073,NA,NA
18,075,NA,NA
18,077,NA,NA
18,079,NA,NA
18,081,NA,NA
18,083,NA,NA
18,085,NA,NA
18,087,NA,NA
18,089,NA,NA
18,091,NA,NA
18,093,NA,NA
18,095,NA,NA
18,097,1,Indianapolis city (balance)
18,099,NA,NA
18,101,NA,NA
18,103,NA,NA
18,105,NA,NA
18,107,NA,NA
18,109,NA,NA
18,111,NA,NA
18,113,NA,NA
18,115,NA,NA
18,117,NA,NA
18,119,NA,NA
18,121,NA,NA
18,123,NA,NA
18,125,NA,NA
18,127,NA,NA
18,129,NA,NA
18,131,NA,NA
18,133,NA,NA
18,135,NA,NA
18,137,NA,NA
18,139,NA,NA
18,141,NA,NA
18,143,NA,NA
18,145,NA,NA
18,147,NA,NA
18,149,NA,NA
18,151,NA,NA
18,153,NA,NA
18,155,NA,NA
18,157,NA,NA
18,159,NA,NA
18,161,NA,NA
18,163,NA,NA
18,165,NA,NA
18,167,NA,NA
18,169,NA,NA
18,171,NA,NA
18,173,NA,NA
18,175,NA,NA
18,177,NA,NA
18,179,NA,NA
18,181,NA,NA
18,183,NA,NA
19,000,NA,NA
19,001,NA,NA
19,003,NA,NA
19,005,NA,NA
19,007,NA,NA
19,009,NA,NA
19,011,NA,NA
19,013,NA,NA
19,015,NA,NA
19,017,NA,NA
19,019,NA,NA
19,021,NA,NA
19,023,NA,NA
19,025,NA,NA
19,027,NA,NA
19,029,NA,NA
19,031,NA,NA
19,033,NA,NA
19,035,NA,NA
19,037,NA,NA
19,039,NA,NA
19,041,NA,NA
19,043,NA,NA
19,045,NA,NA
19,047,NA,NA
19,049,NA,NA
19,051,NA,NA
19,053,NA,NA
19,055,NA,NA
19,057,NA,NA
19,059,NA,NA
19,061,NA,NA
19,063,NA,NA
19,065,NA,NA
19,067,NA,NA
19,069,NA,NA
19,071,NA,NA
19,073,NA,NA
19,075,NA,NA
19,077,NA,NA
19,079,NA,NA
19,081,NA,NA
19,083,NA,NA
19,085,NA,NA
19,087,NA,NA
19,089,NA,NA
19,091,NA,NA
19,093,NA,NA
19,095,NA,NA
19,097,NA,NA
19,099,NA,NA
19,101,NA,NA
19,103,NA,NA
19,105,NA,NA
19,107,NA,NA
19,109,NA,NA
19,111,NA,NA
19,113,NA,NA
19,115,NA,NA
19,117,NA,NA
19,119,NA,NA
19,121,NA,NA
19,123,NA,NA
19,125,NA,NA
19,127,NA,NA
19,129,NA,NA
19,131,NA,NA
19,133,NA,NA
19,135,NA,NA
19,137,NA,NA
19,139,NA,NA
19,141,NA,NA
19,143,NA,NA
19,145,NA,NA
19,147,NA,NA
19,149,NA,NA
19,151,NA,NA
19,153,1,Des Moines
19,155,NA,NA
19,157,NA,NA
19,159,NA,NA
19,161,NA,NA
19,163,NA,NA
19,165,NA,NA
19,167,NA,NA
19,169,NA,NA
19,171,NA,NA
19,173,NA,NA
19,175,NA,NA
19,177,NA,NA
19,179,NA,NA
19,181,1,Des Moines
19,183,NA,NA
19,185,NA,NA
19,187,NA,NA
19,189,NA,NA
19,191,NA,NA
19,193,NA,NA
19,195,NA,NA
19,197,NA,NA
20,000,NA,NA
20,001,NA,NA
20,003,NA,NA
20,005,NA,NA
20,007,NA,NA
20,009,NA,NA
20,011,NA,NA
20,013,NA,NA
20,015,NA,NA
20,017,NA,NA
20,019,NA,NA
20,021,NA,NA
20,023,NA,NA
20,025,NA,NA
20,027,NA,NA
20,029,NA,NA
20,031,NA,NA
20,033,NA,NA
20,035,NA,NA
20,037,NA,NA
20,039,NA,NA
20,041,NA,NA
20,043,NA,NA
20,045,NA,NA
20,047,NA,NA
20,049,NA,NA
20,051,NA,NA
20,053,NA,NA
20,055,NA,NA
20,057,NA,NA
20,059,NA,NA
20,061,NA,NA
20,063,NA,NA
20,065,NA,NA
20,067,NA,NA
20,069,NA,NA
20,071,NA,NA
20,073,NA,NA
20,075,NA,NA
20,077,NA,NA
20,079,NA,NA
20,081,NA,NA
20,083,NA,NA
20,085,NA,NA
20,087,NA,NA
20,089,NA,NA
20,091,NA,NA
20,093,NA,NA
20,095,NA,NA
20,097,NA,NA
20,099,NA,NA
20,101,NA,NA
20,103,NA,NA
20,105,NA,NA
20,107,NA,NA
20,109,NA,NA
20,111,NA,NA
20,113,NA,NA
20,115,NA,NA
20,117,NA,NA
20,119,NA,NA
20,121,NA,NA
20,123,NA,NA
20,125,NA,NA
20,127,NA,NA
20,129,NA,NA
20,131,NA,NA
20,133,NA,NA
20,135,NA,NA
20,137,NA,NA
20,139,NA,NA
20,141,NA,NA
20,143,NA,NA
20,145,NA,NA
20,147,NA,NA
20,149,NA,NA
20,151,NA,NA
20,153,NA,NA
20,155,NA,NA
20,157,NA,NA
20,159,NA,NA
20,161,NA,NA
20,163,NA,NA
20,165,NA,NA
20,167,NA,NA
20,169,NA,NA
20,171,NA,NA
20,173,NA,NA
20,175,NA,NA
20,177,1,Topeka
20,179,NA,NA
20,181,NA,NA
20,183,NA,NA
20,185,NA,NA
20,187,NA,NA
20,189,NA,NA
20,191,NA,NA
20,193,NA,NA
20,195,NA,NA
20,197,NA,NA
20,199,NA,NA
20,201,NA,NA
20,203,NA,NA
20,205,NA,NA
20,207,NA,NA
20,209,NA,NA
21,000,NA,NA
21,001,NA,NA
21,003,NA,NA
21,005,NA,NA
21,007,NA,NA
21,009,NA,NA
21,011,NA,NA
21,013,NA,NA
21,015,NA,NA
21,017,NA,NA
21,019,NA,NA
21,021,NA,NA
21,023,NA,NA
21,025,NA,NA
21,027,NA,NA
21,029,NA,NA
21,031,NA,NA
21,033,NA,NA
21,035,NA,NA
21,037,NA,NA
21,039,NA,NA
21,041,NA,NA
21,043,NA,NA
21,045,NA,NA
21,047,NA,NA
21,049,NA,NA
21,051,NA,NA
21,053,NA,NA
21,055,NA,NA
21,057,NA,NA
21,059,NA,NA
21,061,NA,NA
21,063,NA,NA
21,065,NA,NA
21,067,NA,NA
21,069,NA,NA
21,071,NA,NA
21,073,1,Frankfort
21,075,NA,NA
21,077,NA,NA
21,079,NA,NA
21,081,NA,NA
21,083,NA,NA
21,085,NA,NA
21,087,NA,NA
21,089,NA,NA
21,091,NA,NA
21,093,NA,NA
21,095,NA,NA
21,097,NA,NA
21,099,NA,NA
21,101,NA,NA
21,103,NA,NA
21,105,NA,NA
21,107,NA,NA
21,109,NA,NA
21,111,NA,NA
21,113,NA,NA
21,115,NA,NA
21,117,NA,NA
21,119,NA,NA
21,121,NA,NA
21,123,NA,NA
21,125,NA,NA
21,127,NA,NA
21,129,NA,NA
21,131,NA,NA
21,133,NA,NA
21,135,NA,NA
21,137,NA,NA
21,139,NA,NA
21,141,NA,NA
21,143,NA,NA
21,145,NA,NA
21,147,NA,NA
21,149,NA,NA
21,151,NA,NA
21,153,NA,NA
21,155,NA,NA
21,157,NA,NA
21,159,NA,NA
21,161,NA,NA
21,163,NA,NA
21,165,NA,NA
21,167,NA,NA
21,169,NA,NA
21,171,NA,NA
21,173,NA,NA
21,175,NA,NA
21,177,NA,NA
21,179,NA,NA
21,181,NA,NA
21,183,NA,NA
21,185,NA,NA
21,187,NA,NA
21,189,NA,NA
21,191,NA,NA
21,193,NA,NA
21,195,NA,NA
21,197,NA,NA
21,199,NA,NA
21,201,NA,NA
21,203,NA,NA
21,205,NA,NA
21,207,NA,NA
21,209,NA,NA
21,211,NA,NA
21,213,NA,NA
21,215,NA,NA
21,217,NA,NA
21,219,NA,NA
21,221,NA,NA
21,223,NA,NA
21,225,NA,NA
21,227,NA,NA
21,229,NA,NA
21,231,NA,NA
21,233,NA,NA
21,235,NA,NA
21,237,NA,NA
21,239,NA,NA
22,000,NA,NA
22,001,NA,NA
22,003,NA,NA
22,005,NA,NA
22,007,NA,NA
22,009,NA,NA
22,011,NA,NA
22,013,NA,NA
22,015,NA,NA
22,017,NA,NA
22,019,NA,NA
22,021,NA,NA
22,023,NA,NA
22,025,NA,NA
22,027,NA,NA
22,029,NA,NA
22,031,NA,NA
22,033,1,Baton Rouge
22,035,NA,NA
22,037,NA,NA
22,039,NA,NA
22,041,NA,NA
22,043,NA,NA
22,045,NA,NA
22,047,NA,NA
22,049,NA,NA
22,051,NA,NA
22,053,NA,NA
22,055,NA,NA
22,057,NA,NA
22,059,NA,NA
22,061,NA,NA
22,063,NA,NA
22,065,NA,NA
22,067,NA,NA
22,069,NA,NA
22,071,NA,NA
22,073,NA,NA
22,075,NA,NA
22,077,NA,NA
22,079,NA,NA
22,081,NA,NA
22,083,NA,NA
22,085,NA,NA
22,087,NA,NA
22,089,NA,NA
22,091,NA,NA
22,093,NA,NA
22,095,NA,NA
22,097,NA,NA
22,099,NA,NA
22,101,NA,NA
22,103,NA,NA
22,105,NA,NA
22,107,NA,NA
22,109,NA,NA
22,111,NA,NA
22,113,NA,NA
22,115,NA,NA
22,117,NA,NA
22,119,NA,NA
22,121,NA,NA
22,123,NA,NA
22,125,NA,NA
22,127,NA,NA
23,000,NA,NA
23,001,NA,NA
23,003,NA,NA
23,005,NA,NA
23,007,NA,NA
23,009,NA,NA
23,011,1,Augusta
23,013,NA,NA
23,015,NA,NA
23,017,NA,NA
23,019,NA,NA
23,021,NA,NA
23,023,NA,NA
23,025,NA,NA
23,027,NA,NA
23,029,NA,NA
23,031,NA,NA
24,000,NA,NA
24,001,NA,NA
24,003,1,Annapolis
24,005,NA,NA
24,009,NA,NA
24,011,NA,NA
24,013,NA,NA
24,015,NA,NA
24,017,NA,NA
24,019,NA,NA
24,021,NA,NA
24,023,NA,NA
24,025,NA,NA
24,027,NA,NA
24,029,NA,NA
24,031,NA,NA
24,033,NA,NA
24,035,NA,NA
24,037,NA,NA
24,039,NA,NA
24,041,NA,NA
24,043,NA,NA
24,045,NA,NA
24,047,NA,NA
24,510,NA,NA
25,000,NA,NA
25,001,NA,NA
25,003,NA,NA
25,005,NA,NA
25,007,NA,NA
25,009,NA,NA
25,011,NA,NA
25,013,NA,NA
25,015,NA,NA
25,017,NA,NA
25,019,NA,NA
25,021,NA,NA
25,023,NA,NA
25,025,1,Boston
25,027,NA,NA
26,000,NA,NA
26,001,NA,NA
26,003,NA,NA
26,005,NA,NA
26,007,NA,NA
26,009,NA,NA
26,011,NA,NA
26,013,NA,NA
26,015,NA,NA
26,017,NA,NA
26,019,NA,NA
26,021,NA,NA
26,023,NA,NA
26,025,NA,NA
26,027,NA,NA
26,029,NA,NA
26,031,NA,NA
26,033,NA,NA
26,035,NA,NA
26,037,1,Lansing
26,039,NA,NA
26,041,NA,NA
26,043,NA,NA
26,045,1,Lansing
26,047,NA,NA
26,049,NA,NA
26,051,NA,NA
26,053,NA,NA
26,055,NA,NA
26,057,NA,NA
26,059,NA,NA
26,061,NA,NA
26,063,NA,NA
26,065,1,Lansing
26,067,NA,NA
26,069,NA,NA
26,071,NA,NA
26,073,NA,NA
26,075,NA,NA
26,077,NA,NA
26,079,NA,NA
26,081,NA,NA
26,083,NA,NA
26,085,NA,NA
26,087,NA,NA
26,089,NA,NA
26,091,NA,NA
26,093,NA,NA
26,095,NA,NA
26,097,NA,NA
26,099,NA,NA
26,101,NA,NA
26,103,NA,NA
26,105,NA,NA
26,107,NA,NA
26,109,NA,NA
26,111,NA,NA
26,113,NA,NA
26,115,NA,NA
26,117,NA,NA
26,119,NA,NA
26,121,NA,NA
26,123,NA,NA
26,125,NA,NA
26,127,NA,NA
26,129,NA,NA
26,131,NA,NA
26,133,NA,NA
26,135,NA,NA
26,137,NA,NA
26,139,NA,NA
26,141,NA,NA
26,143,NA,NA
26,145,NA,NA
26,147,NA,NA
26,149,NA,NA
26,151,NA,NA
26,153,NA,NA
26,155,NA,NA
26,157,NA,NA
26,159,NA,NA
26,161,NA,NA
26,163,NA,NA
26,165,NA,NA
27,000,NA,NA
27,001,NA,NA
27,003,NA,NA
27,005,NA,NA
27,007,NA,NA
27,009,NA,NA
27,011,NA,NA
27,013,NA,NA
27,015,NA,NA
27,017,NA,NA
27,019,NA,NA
27,021,NA,NA
27,023,NA,NA
27,025,NA,NA
27,027,NA,NA
27,029,NA,NA
27,031,NA,NA
27,033,NA,NA
27,035,NA,NA
27,037,NA,NA
27,039,NA,NA
27,041,NA,NA
27,043,NA,NA
27,045,NA,NA
27,047,NA,NA
27,049,NA,NA
27,051,NA,NA
27,053,NA,NA
27,055,NA,NA
27,057,NA,NA
27,059,NA,NA
27,061,NA,NA
27,063,NA,NA
27,065,NA,NA
27,067,NA,NA
27,069,NA,NA
27,071,NA,NA
27,073,NA,NA
27,075,NA,NA
27,077,NA,NA
27,079,NA,NA
