statecode,countycode,v175_rawvalue,v175_cbsa_name
02,130,1,Micropolitan Statistical Area
02,150,0,Rural
02,158,0,Rural
02,164,0,Rural
02,170,2,Metropolitan Statistical Area
02,180,0,Rural
02,185,0,Rural
02,188,0,Rural
02,195,0,Rural
02,198,0,Rural
02,220,0,Rural
02,230,0,Rural
02,240,0,Rural
02,275,0,Rural
02,282,0,Rural
02,290,0,Rural
04,000,NA,NA
04,001,0,Rural
04,003,2,Metropolitan Statistical Area
04,005,2,Metropolitan Statistical Area
04,007,1,Micropolitan Statistical Area
04,009,1,Micropolitan Statistical Area
04,011,0,Rural
04,012,0,Rural
04,013,2,Metropolitan Statistical Area
04,015,2,Metropolitan Statistical Area
04,017,1,Micropolitan Statistical Area
04,019,2,Metropolitan Statistical Area
04,021,2,Metropolitan Statistical Area
04,023,1,Micropolitan Statistical Area
04,025,2,Metropolitan Statistical Area
04,027,2,Metropolitan Statistical Area
05,000,NA,NA
05,001,0,Rural
05,003,0,Rural
05,005,1,Micropolitan Statistical Area
05,007,2,Metropolitan Statistical Area
05,009,1,Micropolitan Statistical Area
05,011,0,Rural
05,013,1,Micropolitan Statistical Area
05,015,0,Rural
05,017,0,Rural
05,019,1,Micropolitan Statistical Area
05,021,0,Rural
05,023,0,Rural
05,025,1,Micropolitan Statistical Area
05,027,1,Micropolitan Statistical Area
05,029,0,Rural
05,031,2,Metropolitan Statistical Area
05,033,2,Metropolitan Statistical Area
05,035,2,Metropolitan Statistical Area
05,037,0,Rural
05,039,0,Rural
05,041,0,Rural
05,043,0,Rural
05,045,2,Metropolitan Statistical Area
05,047,0,Rural
05,049,0,Rural
05,051,2,Metropolitan Statistical Area
05,053,2,Metropolitan Statistical Area
05,055,1,Micropolitan Statistical Area
05,057,0,Rural
05,059,1,Micropolitan Statistical Area
05,061,0,Rural
05,063,1,Micropolitan Statistical Area
05,065,0,Rural
05,067,0,Rural
05,069,1,Micropolitan Statistical Area
05,071,0,Rural
05,073,0,Rural
05,075,0,Rural
05,077,0,Rural
05,079,0,Rural
05,081,2,Metropolitan Statistical Area
05,083,0,Rural
05,085,2,Metropolitan Statistical Area
05,087,2,Metropolitan Statistical Area
05,089,0,Rural
05,091,2,Metropolitan Statistical Area
05,093,1,Micropolitan Statistical Area
05,095,0,Rural
05,097,0,Rural
05,099,0,Rural
05,101,1,Micropolitan Statistical Area
05,103,1,Micropolitan Statistical Area
05,105,2,Metropolitan Statistical Area
05,107,0,Rural
05,109,0,Rural
05,111,2,Metropolitan Statistical Area
05,113,0,Rural
05,115,1,Micropolitan Statistical Area
05,117,0,Rural
05,119,2,Metropolitan Statistical Area
05,121,0,Rural
05,123,1,Micropolitan Statistical Area
05,125,2,Metropolitan Statistical Area
05,127,0,Rural
05,129,0,Rural
05,131,2,Metropolitan Statistical Area
05,133,0,Rural
05,135,0,Rural
05,137,0,Rural
05,139,1,Micropolitan Statistical Area
05,141,0,Rural
05,143,2,Metropolitan Statistical Area
05,145,1,Micropolitan Statistical Area
05,147,0,Rural
05,149,1,Micropolitan Statistical Area
06,000,NA,NA
06,001,2,Metropolitan Statistical Area
06,003,1,Micropolitan Statistical Area
06,005,0,Rural
06,007,2,Metropolitan Statistical Area
06,009,0,Rural
06,011,0,Rural
06,013,2,Metropolitan Statistical Area
06,015,1,Micropolitan Statistical Area
06,017,2,Metropolitan Statistical Area
06,019,2,Metropolitan Statistical Area
06,021,0,Rural
06,023,1,Micropolitan Statistical Area
06,025,2,Metropolitan Statistical Area
06,027,1,Micropolitan Statistical Area
06,029,2,Metropolitan Statistical Area
06,031,2,Metropolitan Statistical Area
06,033,1,Micropolitan Statistical Area
06,035,1,Micropolitan Statistical Area
06,037,2,Metropolitan Statistical Area
06,039,2,Metropolitan Statistical Area
06,041,2,Metropolitan Statistical Area
06,043,0,Rural
06,045,1,Micropolitan Statistical Area
06,047,2,Metropolitan Statistical Area
06,049,0,Rural
06,051,0,Rural
06,053,2,Metropolitan Statistical Area
06,055,2,Metropolitan Statistical Area
06,057,1,Micropolitan Statistical Area
06,059,2,Metropolitan Statistical Area
06,061,2,Metropolitan Statistical Area
06,063,0,Rural
06,065,2,Metropolitan Statistical Area
06,067,2,Metropolitan Statistical Area
06,069,2,Metropolitan Statistical Area
06,071,2,Metropolitan Statistical Area
06,073,2,Metropolitan Statistical Area
06,075,2,Metropolitan Statistical Area
06,077,2,Metropolitan Statistical Area
06,079,2,Metropolitan Statistical Area
06,081,2,Metropolitan Statistical Area
06,083,2,Metropolitan Statistical Area
06,085,2,Metropolitan Statistical Area
06,087,2,Metropolitan Statistical Area
06,089,2,Metropolitan Statistical Area
06,091,0,Rural
06,093,0,Rural
06,095,2,Metropolitan Statistical Area
06,097,2,Metropolitan Statistical Area
06,099,2,Metropolitan Statistical Area
06,101,2,Metropolitan Statistical Area
06,103,1,Micropolitan Statistical Area
06,105,0,Rural
06,107,2,Metropolitan Statistical Area
06,109,1,Micropolitan Statistical Area
06,111,2,Metropolitan Statistical Area
06,113,2,Metropolitan Statistical Area
06,115,2,Metropolitan Statistical Area
08,000,NA,NA
08,001,2,Metropolitan Statistical Area
08,003,1,Micropolitan Statistical Area
08,005,2,Metropolitan Statistical Area
08,007,0,Rural
08,009,0,Rural
08,011,0,Rural
08,013,2,Metropolitan Statistical Area
08,014,2,Metropolitan Statistical Area
08,015,0,Rural
08,017,0,Rural
08,019,2,Metropolitan Statistical Area
08,021,1,Micropolitan Statistical Area
08,023,1,Micropolitan Statistical Area
08,025,0,Rural
08,027,0,Rural
08,029,0,Rural
08,031,2,Metropolitan Statistical Area
08,033,0,Rural
08,035,2,Metropolitan Statistical Area
08,037,1,Micropolitan Statistical Area
08,039,2,Metropolitan Statistical Area
08,041,2,Metropolitan Statistical Area
08,043,1,Micropolitan Statistical Area
08,045,1,Micropolitan Statistical Area
08,047,2,Metropolitan Statistical Area
08,049,0,Rural
08,051,0,Rural
08,053,0,Rural
08,055,0,Rural
08,057,0,Rural
08,059,2,Metropolitan Statistical Area
08,061,0,Rural
08,063,0,Rural
08,065,1,Micropolitan Statistical Area
08,067,1,Micropolitan Statistical Area
08,069,2,Metropolitan Statistical Area
08,071,0,Rural
08,073,0,Rural
08,075,1,Micropolitan Statistical Area
08,077,2,Metropolitan Statistical Area
08,079,0,Rural
08,081,1,Micropolitan Statistical Area
08,083,0,Rural
08,085,1,Micropolitan Statistical Area
08,087,1,Micropolitan Statistical Area
08,089,0,Rural
08,091,0,Rural
08,093,2,Metropolitan Statistical Area
08,095,0,Rural
08,097,1,Micropolitan Statistical Area
08,099,0,Rural
08,101,2,Metropolitan Statistical Area
08,103,0,Rural
08,105,0,Rural
08,107,1,Micropolitan Statistical Area
08,109,0,Rural
08,111,0,Rural
08,113,0,Rural
08,115,0,Rural
08,117,1,Micropolitan Statistical Area
08,119,2,Metropolitan Statistical Area
08,121,0,Rural
08,123,2,Metropolitan Statistical Area
08,125,0,Rural
09,000,NA,NA
09,001,2,Metropolitan Statistical Area
09,003,2,Metropolitan Statistical Area
09,005,1,Micropolitan Statistical Area
09,007,2,Metropolitan Statistical Area
09,009,2,Metropolitan Statistical Area
09,011,2,Metropolitan Statistical Area
09,013,2,Metropolitan Statistical Area
09,015,2,Metropolitan Statistical Area
09,110,2,Metropolitan Statistical Area
09,120,2,Metropolitan Statistical Area
09,130,2,Metropolitan Statistical Area
09,140,2,Metropolitan Statistical Area
09,150,1,Micropolitan Statistical Area
09,160,1,Micropolitan Statistical Area
09,170,2,Metropolitan Statistical Area
09,180,2,Metropolitan Statistical Area
09,190,2,Metropolitan Statistical Area
10,000,NA,NA
10,001,2,Metropolitan Statistical Area
10,003,2,Metropolitan Statistical Area
10,005,1,Micropolitan Statistical Area
11,000,NA,NA
11,001,2,Metropolitan Statistical Area
12,000,NA,NA
12,001,2,Metropolitan Statistical Area
12,003,2,Metropolitan Statistical Area
12,005,2,Metropolitan Statistical Area
12,007,0,Rural
12,009,2,Metropolitan Statistical Area
12,011,2,Metropolitan Statistical Area
12,013,0,Rural
12,015,2,Metropolitan Statistical Area
12,017,2,Metropolitan Statistical Area
12,019,2,Metropolitan Statistical Area
12,021,2,Metropolitan Statistical Area
12,023,1,Micropolitan Statistical Area
12,027,1,Micropolitan Statistical Area
12,029,0,Rural
12,031,2,Metropolitan Statistical Area
12,033,2,Metropolitan Statistical Area
12,035,2,Metropolitan Statistical Area
12,037,0,Rural
12,039,2,Metropolitan Statistical Area
12,041,2,Metropolitan Statistical Area
12,043,1,Micropolitan Statistical Area
12,045,0,Rural
12,047,0,Rural
12,049,0,Rural
12,051,1,Micropolitan Statistical Area
12,053,2,Metropolitan Statistical Area
12,055,2,Metropolitan Statistical Area
12,057,2,Metropolitan Statistical Area
12,059,0,Rural
12,061,2,Metropolitan Statistical Area
12,063,0,Rural
12,065,2,Metropolitan Statistical Area
12,067,0,Rural
12,069,2,Metropolitan Statistical Area
12,071,2,Metropolitan Statistical Area
12,073,2,Metropolitan Statistical Area
12,075,2,Metropolitan Statistical Area
12,077,0,Rural
12,079,0,Rural
12,081,2,Metropolitan Statistical Area
12,083,2,Metropolitan Statistical Area
12,085,2,Metropolitan Statistical Area
12,086,2,Metropolitan Statistical Area
12,087,1,Micropolitan Statistical Area
12,089,2,Metropolitan Statistical Area
12,091,2,Metropolitan Statistical Area
12,093,1,Micropolitan Statistical Area
12,095,2,Metropolitan Statistical Area
12,097,2,Metropolitan Statistical Area
12,099,2,Metropolitan Statistical Area
12,101,2,Metropolitan Statistical Area
12,103,2,Metropolitan Statistical Area
12,105,2,Metropolitan Statistical Area
12,107,1,Micropolitan Statistical Area
12,109,2,Metropolitan Statistical Area
12,111,2,Metropolitan Statistical Area
12,113,2,Metropolitan Statistical Area
12,115,2,Metropolitan Statistical Area
12,117,2,Metropolitan Statistical Area
12,119,2,Metropolitan Statistical Area
12,121,0,Rural
12,123,0,Rural
12,125,0,Rural
12,127,2,Metropolitan Statistical Area
12,129,2,Metropolitan Statistical Area
12,131,2,Metropolitan Statistical Area
12,133,2,Metropolitan Statistical Area
13,000,NA,NA
13,001,0,Rural
13,003,1,Micropolitan Statistical Area
13,005,0,Rural
13,007,0,Rural
13,009,1,Micropolitan Statistical Area
13,011,0,Rural
13,013,2,Metropolitan Statistical Area
13,015,2,Metropolitan Statistical Area
13,017,1,Micropolitan Statistical Area
13,019,0,Rural
13,021,2,Metropolitan Statistical Area
13,023,0,Rural
13,025,2,Metropolitan Statistical Area
13,027,2,Metropolitan Statistical Area
13,029,2,Metropolitan Statistical Area
13,031,1,Micropolitan Statistical Area
13,033,2,Metropolitan Statistical Area
13,035,2,Metropolitan Statistical Area
13,037,0,Rural
13,039,1,Micropolitan Statistical Area
13,043,0,Rural
13,045,2,Metropolitan Statistical Area
13,047,2,Metropolitan Statistical Area
13,049,0,Rural
13,051,2,Metropolitan Statistical Area
13,053,2,Metropolitan Statistical Area
13,055,1,Micropolitan Statistical Area
13,057,2,Metropolitan Statistical Area
13,059,2,Metropolitan Statistical Area
13,061,0,Rural
13,063,2,Metropolitan Statistical Area
13,065,0,Rural
13,067,2,Metropolitan Statistical Area
13,069,1,Micropolitan Statistical Area
13,071,1,Micropolitan Statistical Area
13,073,2,Metropolitan Statistical Area
13,075,0,Rural
13,077,2,Metropolitan Statistical Area
13,079,2,Metropolitan Statistical Area
13,081,1,Micropolitan Statistical Area
13,083,2,Metropolitan Statistical Area
13,085,2,Metropolitan Statistical Area
13,087,1,Micropolitan Statistical Area
13,089,2,Metropolitan Statistical Area
13,091,0,Rural
13,093,0,Rural
13,095,2,Metropolitan Statistical Area
13,097,2,Metropolitan Statistical Area
13,099,0,Rural
13,101,2,Metropolitan Statistical Area
13,103,2,Metropolitan Statistical Area
13,105,0,Rural
13,107,0,Rural
13,109,1,Micropolitan Statistical Area
13,111,0,Rural
13,113,2,Metropolitan Statistical Area
13,115,2,Metropolitan Statistical Area
13,117,2,Metropolitan Statistical Area
13,119,0,Rural
13,121,2,Metropolitan Statistical Area
13,123,0,Rural
13,125,0,Rural
13,127,2,Metropolitan Statistical Area
13,129,1,Micropolitan Statistical Area
13,131,1,Micropolitan Statistical Area
13,133,0,Rural
13,135,2,Metropolitan Statistical Area
13,137,1,Micropolitan Statistical Area
13,139,2,Metropolitan Statistical Area
13,141,0,Rural
13,143,2,Metropolitan Statistical Area
13,145,2,Metropolitan Statistical Area
13,147,0,Rural
13,149,2,Metropolitan Statistical Area
13,151,2,Metropolitan Statistical Area
13,153,2,Metropolitan Statistical Area
13,155,0,Rural
13,157,1,Micropolitan Statistical Area
13,159,2,Metropolitan Statistical Area
13,161,0,Rural
13,163,0,Rural
13,165,0,Rural
13,167,1,Micropolitan Statistical Area
13,169,2,Metropolitan Statistical Area
13,171,0,Rural
13,173,2,Metropolitan Statistical Area
13,175,1,Micropolitan Statistical Area
13,177,2,Metropolitan Statistical Area
13,179,2,Metropolitan Statistical Area
13,181,2,Metropolitan Statistical Area
13,183,2,Metropolitan Statistical Area
13,185,2,Metropolitan Statistical Area
13,187,2,Metropolitan Statistical Area
13,189,2,Metropolitan Statistical Area
13,191,2,Metropolitan Statistical Area
13,193,0,Rural
13,195,2,Metropolitan Statistical Area
13,197,2,Metropolitan Statistical Area
13,199,2,Metropolitan Statistical Area
13,201,0,Rural
13,205,0,Rural
13,207,2,Metropolitan Statistical Area
13,209,1,Micropolitan Statistical Area
13,211,2,Metropolitan Statistical Area
13,213,2,Metropolitan Statistical Area
13,215,2,Metropolitan Statistical Area
13,217,2,Metropolitan Statistical Area
13,219,2,Metropolitan Statistical Area
13,221,2,Metropolitan Statistical Area
13,223,2,Metropolitan Statistical Area
13,225,2,Metropolitan Statistical Area
13,227,2,Metropolitan Statistical Area
13,229,1,Micropolitan Statistical Area
13,231,2,Metropolitan Statistical Area
13,233,1,Micropolitan Statistical Area
13,235,0,Rural
13,237,0,Rural
13,239,1,Micropolitan Statistical Area
13,241,0,Rural
13,243,0,Rural
13,245,2,Metropolitan Statistical Area
13,247,2,Metropolitan Statistical Area
13,249,1,Micropolitan Statistical Area
13,251,0,Rural
13,253,0,Rural
13,255,2,Metropolitan Statistical Area
13,257,1,Micropolitan Statistical Area
13,259,2,Metropolitan Statistical Area
13,261,1,Micropolitan Statistical Area
13,263,2,Metropolitan Statistical Area
13,265,0,Rural
13,267,0,Rural
13,269,0,Rural
13,271,0,Rural
13,273,2,Metropolitan Statistical Area
13,275,1,Micropolitan Statistical Area
13,277,1,Micropolitan Statistical Area
13,279,1,Micropolitan Statistical Area
13,281,0,Rural
13,283,0,Rural
13,285,1,Micropolitan Statistical Area
13,287,1,Micropolitan Statistical Area
13,289,2,Metropolitan Statistical Area
13,291,0,Rural
13,293,1,Micropolitan Statistical Area
13,295,2,Metropolitan Statistical Area
13,297,2,Metropolitan Statistical Area
13,299,1,Micropolitan Statistical Area
13,301,0,Rural
13,303,0,Rural
13,305,1,Micropolitan Statistical Area
13,307,0,Rural
13,309,0,Rural
13,311,0,Rural
13,313,2,Metropolitan Statistical Area
13,315,0,Rural
13,317,0,Rural
13,319,0,Rural
13,321,2,Metropolitan Statistical Area
15,000,NA,NA
15,001,1,Micropolitan Statistical Area
15,003,2,Metropolitan Statistical Area
15,005,2,Metropolitan Statistical Area
15,007,1,Micropolitan Statistical Area
15,009,2,Metropolitan Statistical Area
16,000,NA,NA
16,001,2,Metropolitan Statistical Area
16,003,0,Rural
16,005,2,Metropolitan Statistical Area
16,007,0,Rural
16,009,0,Rural
16,011,1,Micropolitan Statistical Area
16,013,1,Micropolitan Statistical Area
16,015,2,Metropolitan Statistical Area
16,017,1,Micropolitan Statistical Area
16,019,2,Metropolitan Statistical Area
16,021,0,Rural
16,023,2,Metropolitan Statistical Area
16,025,1,Micropolitan Statistical Area
16,027,2,Metropolitan Statistical Area
16,029,0,Rural
16,031,1,Micropolitan Statistical Area
16,033,0,Rural
16,035,0,Rural
16,037,0,Rural
16,039,1,Micropolitan Statistical Area
16,041,2,Metropolitan Statistical Area
16,043,1,Micropolitan Statistical Area
16,045,2,Metropolitan Statistical Area
16,047,0,Rural
16,049,0,Rural
16,051,2,Metropolitan Statistical Area
16,053,2,Metropolitan Statistical Area
16,055,2,Metropolitan Statistical Area
16,057,1,Micropolitan Statistical Area
16,059,0,Rural
16,061,0,Rural
16,063,1,Micropolitan Statistical Area
16,065,1,Micropolitan Statistical Area
16,067,1,Micropolitan Statistical Area
16,069,2,Metropolitan Statistical Area
16,071,1,Micropolitan Statistical Area
16,073,2,Metropolitan Statistical Area
16,075,1,Micropolitan Statistical Area
16,077,0,Rural
16,079,0,Rural
16,081,1,Micropolitan Statistical Area
16,083,2,Metropolitan Statistical Area
16,085,0,Rural
16,087,0,Rural
17,000,NA,NA
17,001,1,Micropolitan Statistical Area
17,003,2,Metropolitan Statistical Area
17,005,2,Metropolitan Statistical Area
17,007,2,Metropolitan Statistical Area
17,009,0,Rural
17,011,1,Micropolitan Statistical Area
17,013,2,Metropolitan Statistical Area
17,015,0,Rural
17,017,0,Rural
17,019,2,Metropolitan Statistical Area
17,021,1,Micropolitan Statistical Area
17,023,0,Rural
17,025,0,Rural
17,027,2,Metropolitan Statistical Area
17,029,1,Micropolitan Statistical Area
17,031,2,Metropolitan Statistical Area
17,033,0,Rural
17,035,1,Micropolitan Statistical Area
17,037,2,Metropolitan Statistical Area
17,039,0,Rural
17,041,0,Rural
17,043,2,Metropolitan Statistical Area
17,045,0,Rural
17,047,0,Rural
17,049,1,Micropolitan Statistical Area
17,051,0,Rural
17,053,2,Metropolitan Statistical Area
17,055,0,Rural
17,057,1,Micropolitan Statistical Area
17,059,0,Rural
17,061,0,Rural
17,063,2,Metropolitan Statistical Area
17,065,0,Rural
17,067,0,Rural
17,069,0,Rural
17,071,1,Micropolitan Statistical Area
17,073,2,Metropolitan Statistical Area
17,075,0,Rural
17,077,1,Micropolitan Statistical Area
17,079,0,Rural
17,081,1,Micropolitan Statistical Area
17,083,2,Metropolitan Statistical Area
17,085,0,Rural
17,087,0,Rural
17,089,2,Metropolitan Statistical Area
17,091,2,Metropolitan Statistical Area
17,093,2,Metropolitan Statistical Area
17,095,1,Micropolitan Statistical Area
17,097,2,Metropolitan Statistical Area
17,099,1,Micropolitan Statistical Area
17,101,0,Rural
17,103,1,Micropolitan Statistical Area
17,105,1,Micropolitan Statistical Area
17,107,1,Micropolitan Statistical Area
17,109,1,Micropolitan Statistical Area
17,111,2,Metropolitan Statistical Area
17,113,2,Metropolitan Statistical Area
17,115,2,Metropolitan Statistical Area
17,117,2,Metropolitan Statistical Area
17,119,2,Metropolitan Statistical Area
17,121,1,Micropolitan Statistical Area
17,123,2,Metropolitan Statistical Area
17,125,0,Rural
17,127,2,Metropolitan Statistical Area
17,129,2,Metropolitan Statistical Area
17,131,2,Metropolitan Statistical Area
17,133,2,Metropolitan Statistical Area
17,135,0,Rural
17,137,1,Micropolitan Statistical Area
17,139,0,Rural
17,141,1,Micropolitan Statistical Area
17,143,2,Metropolitan Statistical Area
17,145,0,Rural
17,147,2,Metropolitan Statistical Area
17,149,0,Rural
17,151,0,Rural
17,153,0,Rural
17,155,1,Micropolitan Statistical Area
17,157,0,Rural
17,159,0,Rural
17,161,2,Metropolitan Statistical Area
17,163,2,Metropolitan Statistical Area
17,165,0,Rural
17,167,2,Metropolitan Statistical Area
17,169,0,Rural
17,171,1,Micropolitan Statistical Area
17,173,0,Rural
17,175,2,Metropolitan Statistical Area
17,177,1,Micropolitan Statistical Area
17,179,2,Metropolitan Statistical Area
17,181,0,Rural
17,183,1,Micropolitan Statistical Area
17,185,0,Rural
17,187,0,Rural
17,189,0,Rural
17,191,0,Rural
17,193,0,Rural
17,195,1,Micropolitan Statistical Area
17,197,2,Metropolitan Statistical Area
17,199,1,Micropolitan Statistical Area
17,201,2,Metropolitan Statistical Area
17,203,2,Metropolitan Statistical Area
18,000,NA,NA
18,001,1,Micropolitan Statistical Area
18,003,2,Metropolitan Statistical Area
18,005,2,Metropolitan Statistical Area
18,007,2,Metropolitan Statistical Area
18,009,0,Rural
18,011,2,Metropolitan Statistical Area
18,013,2,Metropolitan Statistical Area
18,015,2,Metropolitan Statistical Area
18,017,1,Micropolitan Statistical Area
18,019,2,Metropolitan Statistical Area
18,021,2,Metropolitan Statistical Area
18,023,1,Micropolitan Statistical Area
18,025,0,Rural
18,027,1,Micropolitan Statistical Area
18,029,2,Metropolitan Statistical Area
18,031,1,Micropolitan Statistical Area
18,033,1,Micropolitan Statistical Area
18,035,2,Metropolitan Statistical Area
18,037,1,Micropolitan Statistical Area
18,039,2,Metropolitan Statistical Area
18,041,1,Micropolitan Statistical Area
18,043,2,Metropolitan Statistical Area
18,045,0,Rural
18,047,2,Metropolitan Statistical Area
18,049,0,Rural
18,051,0,Rural
18,053,1,Micropolitan Statistical Area
18,055,0,Rural
18,057,2,Metropolitan Statistical Area
18,059,2,Metropolitan Statistical Area
18,061,2,Metropolitan Statistical Area
18,063,2,Metropolitan Statistical Area
18,065,1,Micropolitan Statistical Area
18,067,2,Metropolitan Statistical Area
18,069,1,Micropolitan Statistical Area
18,071,1,Micropolitan Statistical Area
18,073,2,Metropolitan Statistical Area
18,075,0,Rural
18,077,1,Micropolitan Statistical Area
18,079,0,Rural
18,081,2,Metropolitan Statistical Area
18,083,1,Micropolitan Statistical Area
18,085,1,Micropolitan Statistical Area
18,087,0,Rural
18,089,2,Metropolitan Statistical Area
18,091,2,Metropolitan Statistical Area
18,093,1,Micropolitan Statistical Area
18,095,2,Metropolitan Statistical Area
18,097,2,Metropolitan Statistical Area
18,099,1,Micropolitan Statistical Area
18,101,0,Rural
18,103,1,Micropolitan Statistical Area
18,105,2,Metropolitan Statistical Area
18,107,1,Micropolitan Statistical Area
18,109,2,Metropolitan Statistical Area
18,111,2,Metropolitan Statistical Area
18,113,1,Micropolitan Statistical Area
18,115,2,Metropolitan Statistical Area
18,117,0,Rural
18,119,2,Metropolitan Statistical Area
18,121,0,Rural
18,123,0,Rural
18,125,0,Rural
18,127,2,Metropolitan Statistical Area
18,129,2,Metropolitan Statistical Area
18,131,0,Rural
18,133,1,Micropolitan Statistical Area
18,135,0,Rural
18,137,0,Rural
18,139,0,Rural
18,141,2,Metropolitan Statistical Area
18,143,0,Rural
18,145,2,Metropolitan Statistical Area
18,147,0,Rural
18,149,0,Rural
18,151,1,Micropolitan Statistical Area
18,153,2,Metropolitan Statistical Area
18,155,0,Rural
18,157,2,Metropolitan Statistical Area
18,159,2,Metropolitan Statistical Area
18,161,0,Rural
18,163,2,Metropolitan Statistical Area
18,165,2,Metropolitan Statistical Area
18,167,2,Metropolitan Statistical Area
18,169,1,Micropolitan Statistical Area
18,171,2,Metropolitan Statistical Area
18,173,2,Metropolitan Statistical Area
18,175,2,Metropolitan Statistical Area
18,177,1,Micropolitan Statistical Area
18,179,2,Metropolitan Statistical Area
18,181,1,Micropolitan Statistical Area
18,183,2,Metropolitan Statistical Area
19,000,NA,NA
19,001,0,Rural
19,003,0,Rural
19,005,0,Rural
19,007,0,Rural
19,009,0,Rural
19,011,2,Metropolitan Statistical Area
19,013,2,Metropolitan Statistical Area
19,015,2,Metropolitan Statistical Area
19,017,2,Metropolitan Statistical Area
19,019,0,Rural
19,021,1,Micropolitan Statistical Area
19,023,0,Rural
19,025,0,Rural
19,027,1,Micropolitan Statistical Area
19,029,0,Rural
19,031,0,Rural
19,033,1,Micropolitan Statistical Area
19,035,0,Rural
19,037,0,Rural
19,039,0,Rural
19,041,1,Micropolitan Statistical Area
19,043,0,Rural
19,045,1,Micropolitan Statistical Area
19,047,0,Rural
19,049,2,Metropolitan Statistical Area
19,051,0,Rural
19,053,0,Rural
19,055,0,Rural
19,057,1,Micropolitan Statistical Area
19,059,1,Micropolitan Statistical Area
19,061,2,Metropolitan Statistical Area
19,063,0,Rural
19,065,0,Rural
19,067,0,Rural
19,069,0,Rural
19,071,0,Rural
19,073,0,Rural
19,075,2,Metropolitan Statistical Area
19,077,2,Metropolitan Statistical Area
19,079,0,Rural
19,081,0,Rural
19,083,0,Rural
19,085,2,Metropolitan Statistical Area
19,087,0,Rural
19,089,0,Rural
19,091,0,Rural
19,093,0,Rural
19,095,0,Rural
19,097,0,Rural
19,099,2,Metropolitan Statistical Area
19,101,0,Rural
19,103,2,Metropolitan Statistical Area
19,105,2,Metropolitan Statistical Area
19,107,0,Rural
19,109,0,Rural
19,111,1,Micropolitan Statistical Area
19,113,2,Metropolitan Statistical Area
19,115,0,Rural
19,117,0,Rural
19,119,0,Rural
19,121,2,Metropolitan Statistical Area
19,123,1,Micropolitan Statistical Area
19,125,1,Micropolitan Statistical Area
19,127,1,Micropolitan Statistical Area
19,129,2,Metropolitan Statistical Area
19,131,0,Rural
19,133,0,Rural
19,135,0,Rural
19,137,0,Rural
19,139,1,Micropolitan Statistical Area
19,141,0,Rural
19,143,0,Rural
19,145,0,Rural
19,147,0,Rural
19,149,1,Micropolitan Statistical Area
19,151,0,Rural
19,153,2,Metropolitan Statistical Area
19,155,2,Metropolitan Statistical Area
19,157,0,Rural
19,159,0,Rural
19,161,0,Rural
19,163,2,Metropolitan Statistical Area
19,165,0,Rural
